energy, R, scale, proportional
8.60000, 3.66000, 0.0135208, 0.0494862
8.70000, 3.44000, 0.0132118, 0.0454485
8.80000, 3.53000, 0.0129132, 0.0455837
8.90000, 3.71000, 0.0126247, 0.0468375
8.91000, 3.42000, 0.0125963, 0.0430795
9.00000, 3.67000, 0.0123457, 0.0453086
9.10000, 3.63000, 0.0120758, 0.0438353
9.20000, 3.57000, 0.0118147, 0.0421786
9.28000, 3.31000, 0.0116119, 0.0384355
9.30000, 3.60000, 0.011562, 0.0416233
9.36000, 3.46000, 0.0114143, 0.0394934
9.39000, 3.49000, 0.0113415, 0.0395817
9.40000, 3.41000, 0.0113173, 0.0385921
9.41500, 3.57000, 0.0112813, 0.0402743
9.45000, 3.80000, 0.0111979, 0.042552
9.46000, 3.47000, 0.0111742, 0.0387746
9.50000, 3.63000, 0.0110803, 0.0402216
9.51000, 3.73000, 0.011057, 0.0412428
9.60000, 3.55000, 0.0108507, 0.03852
9.70000, 3.52000, 0.0106281, 0.037411
9.80000, 3.58000, 0.0104123, 0.0372761
9.90000, 3.49000, 0.010203, 0.0356086
10.00000, 3.68000, 0.01, 0.0368
10.04000, 3.60000, 0.00992048, 0.0357137
10.10000, 3.56000, 0.00980296, 0.0348985
10.20000, 3.49000, 0.00961169, 0.0335448
10.29500, 3.48000, 0.00943512, 0.0328342
10.43000, 3.54000, 0.00919245, 0.0325413
10.49000, 3.77000, 0.0090876, 0.0342602
10.52000, 3.56000, 0.00903584, 0.0321676
11.09000, 3.85000, 0.00813087, 0.0313038
12.00000, 3.45000, 0.00694444, 0.0239583
12.00000, 3.47000, 0.00694444, 0.0240972
12.00000, 3.80000, 0.00694444, 0.0263889
12.00000, 4.00000, 0.00694444, 0.0277778
13.00000, 5.40000, 0.00591716, 0.0319527
14.00000, 4.10000, 0.00510204, 0.0209184
14.00000, 4.14000, 0.00510204, 0.0211224
14.03000, 3.71000, 0.00508025, 0.0188477
14.03000, 4.12000, 0.00508025, 0.0209306
14.04000, 3.94000, 0.00507301, 0.0199877
17.00000, 3.10000, 0.00346021, 0.0107266
21.99000, 3.55000, 0.002068, 0.00734138
21.99000, 3.86000, 0.002068, 0.00798246
22.00000, 3.20000, 0.00206612, 0.00661157
22.00000, 3.86000, 0.00206612, 0.00797521
22.00000, 3.89000, 0.00206612, 0.00803719
22.00000, 4.11000, 0.00206612, 0.00849174
25.00000, 3.71000, 0.0016, 0.005936
25.00000, 4.02000, 0.0016, 0.006432
25.01000, 4.23000, 0.00159872, 0.00676259
27.50000, 3.90000, 0.00132231, 0.00515702
27.55000, 3.90000, 0.00131752, 0.00513832
27.66000, 3.84000, 0.00130706, 0.00501911
29.00000, 3.96000, 0.00118906, 0.00470868
29.93000, 3.54000, 0.00111631, 0.00395175
30.10000, 3.93000, 0.00110374, 0.0043377
30.38000, 3.84000, 0.00108349, 0.0041606
30.40000, 4.00000, 0.00108206, 0.00432825
30.61000, 4.14000, 0.00106727, 0.00441849
31.10000, 3.65000, 0.0010339, 0.00377374
31.25000, 3.70000, 0.001024, 0.0037888
31.29000, 3.82000, 0.00102138, 0.00390169
31.57000, 4.00000, 0.00100335, 0.00401339
33.20000, 4.08000, 0.000907243, 0.00370155
33.79000, 3.85000, 0.000875838, 0.00337197
33.80000, 3.73000, 0.000875319, 0.00326494
33.89000, 4.15000, 0.000870677, 0.00361331
34.00000, 4.11000, 0.000865052, 0.00355536
34.50000, 3.92000, 0.00084016, 0.00329343
34.61000, 3.77000, 0.000834828, 0.0031473
34.70000, 4.07000, 0.000830503, 0.00338015
34.85000, 3.75000, 0.000823369, 0.00308763
35.00000, 4.15000, 0.000816327, 0.00338776
35.01000, 3.92000, 0.00081586, 0.00319817
35.10000, 3.93000, 0.000811682, 0.00318991
35.45000, 3.92000, 0.000795733, 0.00311927
36.10000, 3.92000, 0.000767336, 0.00300796
36.31000, 3.87000, 0.000758486, 0.00293534
36.38000, 3.70000, 0.00075557, 0.00279561
37.40000, 3.58000, 0.000714919, 0.00255941
38.30000, 3.88000, 0.000681714, 0.00264505
38.38000, 4.02000, 0.000678875, 0.00272908
40.32000, 4.04000, 0.000615119, 0.00248508
40.34000, 3.86000, 0.000614509, 0.002372
41.18000, 4.19000, 0.000589695, 0.00247082
41.40000, 4.04000, 0.000583444, 0.00235711
41.45000, 4.08000, 0.000582037, 0.00237471
41.50000, 4.01000, 0.000580636, 0.00232835
41.50000, 4.42000, 0.000580636, 0.00256641
42.50000, 3.87000, 0.000553633, 0.00214256
42.55000, 4.18000, 0.000552333, 0.00230875
43.46000, 3.73000, 0.000529445, 0.00197483
